lag,feature_set,r2,rmse,mae,n_train,n_test
22,A: current only,0.9535843133926392,0.012418922566030612,0.0072915274649858475,6102675,6789591
22,B: current + prev features,0.9520047903060913,0.012628459512347024,0.007551287766546011,6102675,6789591
22,C: current + prev fwns,0.9613314270973206,0.011335236042909416,0.006918902508914471,6102675,6789591
22,D: current + prev features + prev fwns,0.9656384587287903,0.010685323854295192,0.0066564567387104034,6102675,6789591
23,A: current only,0.9496859908103943,0.01299009332887138,0.007532639428973198,4898830,5326595
23,B: current + prev features,0.9481074810028076,0.013192291503321713,0.007814829237759113,4898830,5326595
23,C: current + prev fwns,0.9602521657943726,0.011545809425093808,0.007006810978055,4898830,5326595
23,D: current + prev features + prev fwns,0.9666007161140442,0.010583676308612214,0.0065829092636704445,4898830,5326595
24,A: current only,0.9556866884231567,0.013178690356103882,0.008350254036486149,1910206,2065678
24,B: current + prev features,0.9520728588104248,0.013705529892424427,0.008789602667093277,1910206,2065678
24,C: current + prev fwns,0.959473729133606,0.01260298560307304,0.008210220374166965,1910206,2065678
24,D: current + prev features + prev fwns,0.9635718464851379,0.011948787638175295,0.00789655651897192,1910206,2065678
25,A: current only,0.9545939564704895,0.013624747616216857,0.008668581023812294,1485672,1666670
25,B: current + prev features,0.9504064917564392,0.014239145884372523,0.009155286476016045,1485672,1666670
25,C: current + prev fwns,0.9593872427940369,0.01288554482527512,0.008441501297056675,1485672,1666670
25,D: current + prev features + prev fwns,0.9631380438804626,0.012276113063247633,0.008150332607328892,1485672,1666670
26,A: current only,0.9497153759002686,0.013608551153709196,0.008281623013317585,2484420,2853581
26,B: current + prev features,0.9470540285110474,0.01396403581276145,0.008647282607853413,2484420,2853581
26,C: current + prev fwns,0.9569891095161438,0.012585881856628692,0.007940802723169327,2484420,2853581
26,D: current + prev features + prev fwns,0.9624795913696289,0.011755146686000471,0.007554192561656237,2484420,2853581
27,A: current only,0.9523484110832214,0.012565271156359307,0.0072959549725055695,5623171,6454741
27,B: current + prev features,0.9503253698348999,0.012829226176536607,0.007590766064822674,5623171,6454741
27,C: current + prev fwns,0.9605496525764465,0.01143295572786839,0.006902297958731651,5623171,6454741
27,D: current + prev features + prev fwns,0.9658265113830566,0.010640888618888152,0.006560024339705706,5623171,6454741
28,A: current only,0.9528377652168274,0.012603075087379536,0.007315584924072027,5553694,5976105
28,B: current + prev features,0.9517197608947754,0.012751582957857725,0.007535474840551615,5553694,5976105
28,C: current + prev fwns,0.9603980183601379,0.01154882886090011,0.006948786787688732,5553694,5976105
28,D: current + prev features + prev fwns,0.965347945690155,0.010802984235039986,0.006633910350501537,5553694,5976105
29,A: current only,0.9518726468086243,0.013271258870160523,0.008110436610877514,2661615,2814256
29,B: current + prev features,0.9481620192527771,0.013773369000670787,0.008528133854269981,2661615,2814256
29,C: current + prev fwns,0.9578706622123718,0.01241676225066814,0.007843853905797005,2661615,2814256
29,D: current + prev features + prev fwns,0.9620587825775146,0.01178342572716776,0.007563795428723097,2661615,2814256
30,A: current only,0.9551624655723572,0.013524995571695052,0.008585984818637371,1472835,1589211
30,B: current + prev features,0.9508870244026184,0.014155141892172289,0.009090857580304146,1472835,1589211
30,C: current + prev fwns,0.9589539170265198,0.012940526526391544,0.008450258523225784,1472835,1589211
30,D: current + prev features + prev fwns,0.9618922472000122,0.012468743430752266,0.008248940110206604,1472835,1589211
